Serial No,Comment,Label
2963,Customer support WhatsApp touro #GPayScam,Scam Promotion
2964,Account verify touro haibasi suspicious ni 😨 🔥,Cyber Crime
2965,Customer support WhatsApp touro,Scam Promotion
2966,Election discussion asi yamna chatli 👍 😂,Non Cyber Crime
2967,Useful useful useful useful bro,Bot Comment
2968,Festival preparation touri receipt #Manipur 🔥,Non Cyber Crime
2969,Eigi ima na chak charaga leiri screenshot jaldi asap,Non Cyber Crime
2970,Best channel best channel video 💸 lol,Bot Comment
2971,Numit asi yamna chaoba oirammi fraud 😂,Non Cyber Crime
2972,Link ama click touba matamda careful oiganu digital paisa plz,Cyber Crime
2973,Ei bank app da check toure payment leitre video 🚨 plz,Cyber Crime
2974,Easy money work from home #CyberCrime 💰 bhai,Scam Promotion
2975,Movie asi eina nungairi investigation bro,Non Cyber Crime
2976,School gi project complete toure digital kya,Non Cyber Crime
2977,Great content great content fraud 🤔 plz,Bot Comment
2978,Masi fake GPay scam asi yamna khudongchabani app,Cyber Crime
2979,Cricket match gi score karino 👍 plz,Non Cyber Crime
2980,Customer support WhatsApp touro video #FraudAlert lol,Scam Promotion
2981,Numit asi yamna chaoba oirammi GPay,Non Cyber Crime
2982,Travel photo asi yamna phajabani screenshot plz,Non Cyber Crime
2983,Best channel best channel cash zaroor #FraudAlert,Bot Comment
2984,Madu fraud oirammi hairi 🚨,Cyber Crime
2985,Fake confirmation screen asi yamna dangerous ni verify,Cyber Crime
2986,100% true information #FraudAlert 😢 lol,Bot Comment
2987,Watch till end friends dekho #ScamAlert 📢,Bot Comment
2988,Instant cashback ₹10000 available 😢,Scam Promotion
2989,Police investigation asi continue touri 🙏,Cyber Crime
2990,Music video asi phajare app,Non Cyber Crime
2991,Fake confirmation screen asi yamna dangerous ni lol,Cyber Crime
2992,Transaction successful haiba asi thajaba ngamde update,Cyber Crime
2993,Verify account now nattraga block oigani update,Scam Promotion
2994,Receipt ubu ngamde aduga cash piri 👍,Cyber Crime
2995,Instant cashback ₹10000 available police abhi #ScamAlert 😂,Scam Promotion
2996,Official support number contact touro #DigitalFraud 😂,Scam Promotion
2997,DM touro ₹5000 daily income piba ngamgani #DigitalFraud,Scam Promotion
2998,UPI payment receive toude 😡 lol,Cyber Crime
2999,Madu fraud oirammi hairi payment 😂 lol,Cyber Crime
3000,Cricket match gi score karino online plz,Non Cyber Crime
3001,Screenshot asi fake oirammi #DigitalFraud lol,Cyber Crime
3002,School gi project complete toure plz,Non Cyber Crime
3003,Exam result karino upload tougani news #StaySafe 😂,Non Cyber Crime
3004,Useful useful useful useful #FraudAlert 😢 lol,Bot Comment
3005,Football match asi yamna phajabani payment #DigitalFraud 😂,Non Cyber Crime
3006,Exam result karino upload tougani,Non Cyber Crime
3007,Festival preparation touri bro,Non Cyber Crime
3008,Madu fraud oirammi hairi complaint,Cyber Crime
3009,Election discussion asi yamna chatli #FraudAlert bhai,Non Cyber Crime
3010,Very useful useful useful 🔥🔥🔥 report bhaiya 😂,Bot Comment
3011,Cyber police da complaint tou-u bro,Cyber Crime
3012,Leikol da function ama leiri #Manipur bro,Non Cyber Crime
3013,Transaction successful haiba asi thajaba ngamde digital 😳,Cyber Crime
3014,New song release toure bahut asap,Non Cyber Crime
3015,Cricket match gi score karino driver fake 😂,Non Cyber Crime
3016,Instant cashback ₹10000 available 😨 bro,Scam Promotion
3017,Customer support WhatsApp touro UPI #DigitalFraud 🙏 😂,Scam Promotion
3018,Instant cashback ₹10000 available paisa bhai,Scam Promotion
3019,Ei nattraga eigi family gi maphamda masi thoklammi lol,Cyber Crime
3020,Ei bank app da check toure payment leitre update 😳,Cyber Crime
3021,Transaction successful haiba asi thajaba ngamde bank,Cyber Crime
3022,Weather houjik yamna nungshitri receipt #CyberCrime 🙏 plz,Non Cyber Crime
3023,Ei nattraga eigi family gi maphamda masi thoklammi police galat #Churachandpur 😂,Cyber Crime
3024,Cyber police da complaint tou-u complaint 🔥,Cyber Crime
3025,Instant cashback ₹10000 available 😳 🔥,Scam Promotion
3026,School gi project complete toure update #ScamAlert 😳,Non Cyber Crime
3027,Nice video bro thanks thanks link 😳,Bot Comment
3028,GPay issue solve tougani inbox now driver 😢 asap,Scam Promotion
3029,Great content great content #Manipur,Bot Comment
3030,Eigi ima na chak charaga leiri 🔥 bro,Non Cyber Crime
3031,Link ama click touba matamda careful oiganu #FraudAlert,Cyber Crime
3032,Good information everyone watch receipt zaroor 😂,Bot Comment
3033,OTP piro nattraga account loukhatkani police 😤 plz,Cyber Crime
3034,OTP piro nattraga account loukhatkani OTP 🔥,Cyber Crime
3035,Exam result karino upload tougani ⚠️ 🔥,Non Cyber Crime
3036,Link ama click touba matamda careful oiganu phishing 🔥,Cyber Crime
3037,Good information everyone watch plz,Bot Comment
3038,Customer support WhatsApp touro link #ScamAlert 💸,Scam Promotion
3039,Fast approval guaranteed fake galat 🔥,Scam Promotion
3040,OTP piro nattraga account loukhatkani transaction bahut 🔥 😳,Cyber Crime
3041,Fast approval guaranteed OTP 😡,Scam Promotion
3042,Masi fake GPay scam asi yamna khudongchabani customer bro,Cyber Crime
3043,Exam result karino upload tougani fraud 😢,Non Cyber Crime
3044,Verify account now nattraga block oigani 💸,Scam Promotion
3045,Madu fraud oirammi hairi plz,Cyber Crime
3046,Account verify touro haibasi suspicious ni hack bhai,Cyber Crime
3047,Receipt ubu ngamde aduga cash piri link,Cyber Crime
3048,Numit asi yamna chaoba oirammi UPI 😂 asap,Non Cyber Crime
3049,Customer support WhatsApp touro online #News 🔥,Scam Promotion
3050,Weather houjik yamna nungshitri #GPayScam bhai,Non Cyber Crime
3051,Receipt ubu ngamde aduga cash piri pakka bro,Cyber Crime
3052,Screenshot asi fake oirammi #Manipur bhai,Cyber Crime
3053,Ei bank app da check toure payment leitre warning 😳,Cyber Crime
3054,UPI payment receive toude #UPI,Cyber Crime
3055,New song release toure report,Non Cyber Crime
3056,Movie asi eina nungairi kya bhai,Non Cyber Crime
3057,Election discussion asi yamna chatli bhaiya plz,Non Cyber Crime
3058,Very useful useful useful 🔥🔥🔥 digital 💸 bro,Bot Comment
3059,Account verify touro haibasi suspicious ni #ScamAlert 🤔 🔥,Cyber Crime
3060,Ei nattraga eigi family gi maphamda masi thoklammi #FraudAlert 🙏 😂,Cyber Crime
3061,UPI payment receive toude 😂,Cyber Crime
3062,Official support number contact touro yamna,Scam Promotion
3063,Weather houjik yamna nungshitri police,Non Cyber Crime
3064,Ningol Chakouba matamda leiringei customer ⚠️ lol,Non Cyber Crime
3065,New song release toure #FraudAlert 😱 😂,Non Cyber Crime
3066,Important update friends payment,Bot Comment
3067,Ei bank app da check toure payment leitre UPI #ScamAlert 😳,Cyber Crime
3068,Very useful useful useful 🔥🔥🔥 receipt fake #StaySafe 😱,Bot Comment
3069,Best channel best channel fake bhai #Manipur bro,Bot Comment
3070,Cyber police da complaint tou-u link,Cyber Crime
3071,Useful useful useful useful online asap,Bot Comment
3072,Official support number contact touro investigation galat bhai,Scam Promotion
3073,Travel photo asi yamna phajabani link dekho 😂,Non Cyber Crime
3074,Election discussion asi yamna chatli receipt 👍 bhai,Non Cyber Crime
3075,Important update friends #Manipur 😡,Bot Comment
3076,Amazing news amazing news abhi 📢 😳,Bot Comment
3077,Ei nattraga eigi family gi maphamda masi thoklammi digital 😱 plz,Cyber Crime
3078,Election discussion asi yamna chatli #FraudAlert 🙏 bhai,Non Cyber Crime
3079,Good information everyone watch sab 👍 😳,Bot Comment
3080,Nice video bro thanks thanks payment,Bot Comment
3081,Exam result karino upload tougani app 😂,Non Cyber Crime
3082,Important update friends payment 🤔 lol,Bot Comment
3083,Election discussion asi yamna chatli 🔥,Non Cyber Crime
3084,Festival preparation touri #News 👍,Non Cyber Crime
3085,Movie asi eina nungairi bhai,Non Cyber Crime
3086,Screenshot asi fake oirammi #StaySafe,Cyber Crime
3087,Link click touro reward phanggani #News 🚨,Scam Promotion
3088,Movie asi eina nungairi 😳,Non Cyber Crime
3089,Transaction successful haiba asi thajaba ngamde #CyberCrime 🔥,Cyber Crime
3090,Cyber police da complaint tou-u bank lol,Cyber Crime
3091,Link ama click touba matamda careful oiganu cash jaldi #UPI bhai,Cyber Crime
3092,Exam result karino upload tougani screenshot #Manipur plz,Non Cyber Crime
3093,Festival preparation touri kya #StaySafe 🔥,Non Cyber Crime
3094,Numit asi yamna chaoba oirammi complaint,Non Cyber Crime
3095,100% true information hack,Bot Comment
3096,UPI payment receive toude UPI #ScamAlert bhai,Cyber Crime
3097,DM touro ₹5000 daily income piba ngamgani 👍 lol,Scam Promotion
3098,Good information everyone watch 🤔 bhai,Bot Comment
3099,Verify account now nattraga block oigani UPI galat #Manipur 😨 😳,Scam Promotion
3100,Masi fake GPay scam asi yamna khudongchabani sahi,Cyber Crime
3101,Football match asi yamna phajabani digital #StaySafe,Non Cyber Crime
3102,Election discussion asi yamna chatli driver sahi,Non Cyber Crime
3103,Transaction successful haiba asi thajaba ngamde fake bhai,Cyber Crime
3104,Movie asi eina nungairi 👍 😳,Non Cyber Crime
3105,Leikol da function ama leiri payment #Churachandpur,Non Cyber Crime
3106,Weather houjik yamna nungshitri verify zaroor #GPayScam bro,Non Cyber Crime
3107,Madu fraud oirammi hairi 👍 😳,Cyber Crime
3108,Great content great content receipt 📢,Bot Comment
3109,Instant cashback ₹10000 available video #News bhai,Scam Promotion
3110,Movie asi eina nungairi 😢 bro,Non Cyber Crime
3111,Screenshot asi fake oirammi dekho #StaySafe ⚠️ 🔥,Cyber Crime
3112,Fake confirmation screen asi yamna dangerous ni pakka #News 😱 😂,Cyber Crime
3113,DM touro ₹5000 daily income piba ngamgani #GPayScam lol,Scam Promotion
3114,Ningol Chakouba matamda leiringei phishing #GPayScam ⚠️ 🔥,Non Cyber Crime
3115,Eigi ima na chak charaga leiri warning 😡 😂,Non Cyber Crime
3116,New song release toure #UPI lol,Non Cyber Crime
3117,Best channel best channel 😂,Bot Comment
3118,Exam result karino upload tougani shopkeeper #News bro,Non Cyber Crime
3119,Link click touro reward phanggani customer 😤 lol,Scam Promotion
3120,Official support number contact touro GPay yamna,Scam Promotion
3121,Election discussion asi yamna chatli,Non Cyber Crime
3122,Travel photo asi yamna phajabani online bhai,Non Cyber Crime
3123,Official support number contact touro merchant,Scam Promotion
3124,School gi project complete toure update plz,Non Cyber Crime
3125,Travel photo asi yamna phajabani link yamna,Non Cyber Crime
3126,Election discussion asi yamna chatli yamna,Non Cyber Crime
3127,Masi fake GPay scam asi yamna khudongchabani hack 😱 bhai,Cyber Crime
3128,Police investigation asi continue touri bhaiya #News 😳,Cyber Crime
3129,New song release toure verify #StaySafe lol,Non Cyber Crime
3130,Cyber police da complaint tou-u screenshot #ScamAlert lol,Cyber Crime
3131,Music video asi phajare app 🙏 plz,Non Cyber Crime
3132,Receipt ubu ngamde aduga cash piri sahi 😳 asap,Cyber Crime
3133,Good information everyone watch 🚨 yamna,Bot Comment
3134,Fast approval guaranteed 🤔,Scam Promotion
3135,Great content great content investigation log 😡 😳,Bot Comment
3136,Account verify touro haibasi suspicious ni #UPI yamna,Cyber Crime
3137,Ningol Chakouba matamda leiringei account #Churachandpur 😢 bhai,Non Cyber Crime
3138,Ei bank app da check toure payment leitre cash #Manipur 💸,Cyber Crime
3139,100% true information 😡,Bot Comment
3140,Exam result karino upload tougani 😡 😳,Non Cyber Crime
3141,Festival preparation touri UPI bahut #FraudAlert 👍 lol,Non Cyber Crime
3142,Leikol da function ama leiri bank 😡 bro,Non Cyber Crime
3143,Account verify touro haibasi suspicious ni payment bro,Cyber Crime
3144,Best channel best channel cyber kaise 😱 🔥,Bot Comment
3145,Fast approval guaranteed 🚨 lol,Scam Promotion
3146,Account verify touro haibasi suspicious ni bank 💸 bhai,Cyber Crime
3147,Football match asi yamna phajabani police 🚨 bhai,Non Cyber Crime
3148,Official support number contact touro phishing 👍 asap,Scam Promotion
3149,Weather houjik yamna nungshitri receipt,Non Cyber Crime
3150,DM touro ₹5000 daily income piba ngamgani cyber pakka 😤,Scam Promotion
3151,Football match asi yamna phajabani bro,Non Cyber Crime
3152,Link click touro reward phanggani arrest galat asap,Scam Promotion
3153,Weather houjik yamna nungshitri GPay 💸,Non Cyber Crime
3154,Instant cashback ₹10000 available money 😂,Scam Promotion
3155,Shopkeeper singna careful oigadabani 🚨 plz,Cyber Crime
3156,Receipt ubu ngamde aduga cash piri news 🔥 🔥,Cyber Crime
3157,New song release toure OTP 😨 yamna,Non Cyber Crime
3158,Exam result karino upload tougani hack,Non Cyber Crime
3159,Verify account now nattraga block oigani 😂,Scam Promotion
3160,Very useful useful useful 🔥🔥🔥 police #DigitalFraud bhai,Bot Comment
3161,Leikol da function ama leiri driver 💰,Non Cyber Crime
3162,UPI payment receive toude bhaiya bhai,Cyber Crime
3163,Account verify touro haibasi suspicious ni 📢,Cyber Crime
3164,Movie asi eina nungairi verify #FraudAlert 🔥,Non Cyber Crime
3165,Shopkeeper singna careful oigadabani #CyberCrime 😳,Cyber Crime
3166,Ei bank app da check toure payment leitre #UPI bro,Cyber Crime
3167,School gi project complete toure payment 😳,Non Cyber Crime
3168,Numit asi yamna chaoba oirammi #UPI asap,Non Cyber Crime
3169,Important update friends support bhai #Churachandpur 👍 😳,Bot Comment
3170,Ningol Chakouba matamda leiringei verify,Non Cyber Crime
3171,UPI payment receive toude 🙏 🔥,Cyber Crime
3172,DM touro ₹5000 daily income piba ngamgani fraud sab,Scam Promotion
3173,Easy money work from home plz,Scam Promotion
3174,Eigi ima na chak charaga leiri phishing 😂 😳,Non Cyber Crime
3175,New song release toure hack #GPayScam 💸 bhai,Non Cyber Crime
3176,Verify account now nattraga block oigani police #ScamAlert 😡,Scam Promotion
3177,Numit asi yamna chaoba oirammi sab 🔥,Non Cyber Crime
3178,Eigi ima na chak charaga leiri #Churachandpur plz,Non Cyber Crime
3179,Exam result karino upload tougani bhaiya 💰 yamna,Non Cyber Crime
3180,Amazing news amazing news police bhai,Bot Comment
3181,Account verify touro haibasi suspicious ni #ScamAlert asap,Cyber Crime
3182,Official support number contact touro OTP yamna,Scam Promotion
3183,Receipt ubu ngamde aduga cash piri fraud 🔥,Cyber Crime
3184,Weather houjik yamna nungshitri scam asap,Non Cyber Crime
3185,Madu fraud oirammi hairi fake #FraudAlert yamna,Cyber Crime
3186,Nice video bro thanks thanks scam 😂 lol,Bot Comment
3187,Cyber police da complaint tou-u pakka 😂,Cyber Crime
3188,Madu fraud oirammi hairi #GPayScam,Cyber Crime
3189,OTP piro nattraga account loukhatkani #GPayScam 😳 bhai,Cyber Crime
3190,DM touro ₹5000 daily income piba ngamgani support 😡,Scam Promotion
3191,Account verify touro haibasi suspicious ni complaint bhai,Cyber Crime
3192,Masi fake GPay scam asi yamna khudongchabani merchant #Manipur bro,Cyber Crime
3193,Ei bank app da check toure payment leitre scam #FraudAlert 😨 yamna,Cyber Crime
3194,Account verify touro haibasi suspicious ni 🔥,Cyber Crime
3195,Verify account now nattraga block oigani shopkeeper #Churachandpur bro,Scam Promotion
3196,Football match asi yamna phajabani receipt plz,Non Cyber Crime
3197,Cyber police da complaint tou-u yamna,Cyber Crime
3198,Ningol Chakouba matamda leiringei jaldi 😢,Non Cyber Crime
3199,Great content great content driver 🙏 yamna,Bot Comment
3200,Numit asi yamna chaoba oirammi #UPI,Non Cyber Crime
3201,School gi project complete toure kaise 💰 🔥,Non Cyber Crime
3202,Masi fake GPay scam asi yamna khudongchabani fraud 🔥 asap,Cyber Crime
3203,Police investigation asi continue touri #StaySafe,Cyber Crime
3204,DM touro ₹5000 daily income piba ngamgani customer,Scam Promotion
3205,Exam result karino upload tougani GPay 🚨 bhai,Non Cyber Crime
3206,Very useful useful useful 🔥🔥🔥 hack sahi #UPI yamna,Bot Comment
3207,Travel photo asi yamna phajabani lol,Non Cyber Crime
3208,Numit asi yamna chaoba oirammi payment yamna,Non Cyber Crime
3209,UPI payment receive toude 😢 asap,Cyber Crime
3210,Leikol da function ama leiri 😂,Non Cyber Crime
3211,Movie asi eina nungairi digital 😳,Non Cyber Crime
3212,Fake confirmation screen asi yamna dangerous ni customer plz,Cyber Crime
3213,Numit asi yamna chaoba oirammi #CyberCrime 📢 lol,Non Cyber Crime
3214,Fake confirmation screen asi yamna dangerous ni support 😂 bro,Cyber Crime
3215,Movie asi eina nungairi #Churachandpur 😳 bro,Non Cyber Crime
3216,Transaction successful haiba asi thajaba ngamde warning bhai #GPayScam,Cyber Crime
3217,Fast approval guaranteed alert 😂 😂,Scam Promotion
3218,Numit asi yamna chaoba oirammi bhaiya #DigitalFraud 😳,Non Cyber Crime
3219,GPay issue solve tougani inbox now #Churachandpur 😂,Scam Promotion
3220,OTP piro nattraga account loukhatkani 🚨,Cyber Crime
3221,School gi project complete toure hack 😨 asap,Non Cyber Crime
3222,Music video asi phajare bhaiya,Non Cyber Crime
3223,New song release toure complaint #StaySafe 💸 bro,Non Cyber Crime
3224,Customer support WhatsApp touro investigation 🤔 bhai,Scam Promotion
3225,Official support number contact touro investigation 👍 😳,Scam Promotion
3226,Fast approval guaranteed report,Scam Promotion
3227,Nice video bro thanks thanks 👍 bhai,Bot Comment
3228,Link ama click touba matamda careful oiganu warning,Cyber Crime
3229,Shopkeeper singna careful oigadabani #ScamAlert 🤔 plz,Cyber Crime
3230,Receipt ubu ngamde aduga cash piri ⚠️,Cyber Crime
3231,Good information everyone watch screenshot kya #Manipur lol,Bot Comment
3232,Masi fake GPay scam asi yamna khudongchabani police 😳,Cyber Crime
3233,Numit asi yamna chaoba oirammi #Churachandpur 🤔 bhai,Non Cyber Crime
3234,Festival preparation touri #StaySafe 🔥,Non Cyber Crime
3235,OTP piro nattraga account loukhatkani zaroor #News 🙏 bhai,Cyber Crime
3236,UPI payment receive toude 🔥,Cyber Crime
3237,Travel photo asi yamna phajabani complaint 🔥 lol,Non Cyber Crime
3238,Amazing news amazing news bank #DigitalFraud lol,Bot Comment
3239,Ei bank app da check toure payment leitre support,Cyber Crime
3240,Weather houjik yamna nungshitri scam paisa lol,Non Cyber Crime
3241,Fast approval guaranteed video 😱 🔥,Scam Promotion
3242,Masi fake GPay scam asi yamna khudongchabani #Churachandpur ⚠️ 😂,Cyber Crime
3243,Link ama click touba matamda careful oiganu UPI #News plz,Cyber Crime
3244,Best channel best channel 🔥,Bot Comment
3245,Cyber police da complaint tou-u phishing abhi plz,Cyber Crime
3246,Limited offer hurry hurry investigation 🔥,Scam Promotion
3247,Cyber police da complaint tou-u #DigitalFraud 😡 bhai,Cyber Crime
3248,Police investigation asi continue touri OTP asap,Cyber Crime
3249,100% true information #GPayScam yamna,Bot Comment
3250,Useful useful useful useful transaction abhi #GPayScam 😂 bro,Bot Comment
3251,100% true information bahut #DigitalFraud 💸 asap,Bot Comment
3252,Very useful useful useful 🔥🔥🔥 😳 bhai,Bot Comment
3253,Numit asi yamna chaoba oirammi dekho #UPI bro,Non Cyber Crime
3254,UPI payment receive toude #Manipur 🔥,Cyber Crime
3255,Good information everyone watch #StaySafe asap,Bot Comment
3256,Cyber police da complaint tou-u investigation bahut,Cyber Crime
3257,Cyber police da complaint tou-u cash 😂,Cyber Crime
3258,Masi fake GPay scam asi yamna khudongchabani 🔥,Cyber Crime
3259,Amazing news amazing news #GPayScam 💸,Bot Comment
3260,Police investigation asi continue touri #UPI 🔥,Cyber Crime
3261,Ei bank app da check toure payment leitre arrest #Churachandpur 🤔 plz,Cyber Crime
3262,Weather houjik yamna nungshitri dekho,Non Cyber Crime
3263,100% true information #FraudAlert 👍 yamna,Bot Comment
3264,Fake confirmation screen asi yamna dangerous ni investigation lol,Cyber Crime
3265,Best channel best channel fake 💰 yamna,Bot Comment
3266,Ningol Chakouba matamda leiringei paisa 🔥 asap,Non Cyber Crime
3267,Eigi ima na chak charaga leiri ⚠️ 🔥,Non Cyber Crime
3268,Account verify touro haibasi suspicious ni GPay bhai,Cyber Crime
3269,Link ama click touba matamda careful oiganu #Churachandpur 😳,Cyber Crime
3270,Exam result karino upload tougani driver 🤔 😳,Non Cyber Crime
3271,Link ama click touba matamda careful oiganu verify 🔥,Cyber Crime
3272,UPI payment receive toude driver bhaiya 😳,Cyber Crime
3273,Election discussion asi yamna chatli link,Non Cyber Crime
3274,Link click touro reward phanggani 💰 🔥,Scam Promotion
3275,Link ama click touba matamda careful oiganu cyber 🙏 😂,Cyber Crime
3276,Music video asi phajare report sahi 💰 yamna,Non Cyber Crime
3277,Festival preparation touri shopkeeper 🔥,Non Cyber Crime
3278,Fast approval guaranteed video,Scam Promotion
3279,Travel photo asi yamna phajabani #Churachandpur,Non Cyber Crime
3280,Movie asi eina nungairi police 😳,Non Cyber Crime
3281,OTP piro nattraga account loukhatkani customer #Manipur,Cyber Crime
3282,Weather houjik yamna nungshitri fake,Non Cyber Crime
3283,Transaction successful haiba asi thajaba ngamde online paisa #GPayScam 😳,Cyber Crime
3284,Transaction successful haiba asi thajaba ngamde galat yamna,Cyber Crime
3285,Ei nattraga eigi family gi maphamda masi thoklammi video 🚨 yamna,Cyber Crime
3286,Best channel best channel #Manipur ⚠️ bhai,Bot Comment
3287,Festival preparation touri 😤,Non Cyber Crime
3288,Ningol Chakouba matamda leiringei #DigitalFraud 🤔 asap,Non Cyber Crime
3289,Fake confirmation screen asi yamna dangerous ni phishing 🔥,Cyber Crime
3290,Festival preparation touri 🙏 lol,Non Cyber Crime
3291,UPI payment receive toude #UPI 🚨 😳,Cyber Crime
3292,New song release toure paisa #DigitalFraud asap,Non Cyber Crime
3293,100% true information cyber bhai,Bot Comment
3294,Travel photo asi yamna phajabani link 😨,Non Cyber Crime
3295,Travel photo asi yamna phajabani fraud #ScamAlert 😤 plz,Non Cyber Crime
3296,Ningol Chakouba matamda leiringei fraud,Non Cyber Crime
3297,Transaction successful haiba asi thajaba ngamde #CyberCrime 😤 🔥,Cyber Crime
3298,UPI payment receive toude 😱 🔥,Cyber Crime
3299,Great content great content galat #GPayScam 😳,Bot Comment
3300,Weather houjik yamna nungshitri support sab 🚨,Non Cyber Crime
3301,Receipt ubu ngamde aduga cash piri 🚨 😂,Cyber Crime
3302,Important update friends 😱 yamna,Bot Comment
3303,Important update friends hack,Bot Comment
3304,Link ama click touba matamda careful oiganu payment 🔥,Cyber Crime
3305,OTP piro nattraga account loukhatkani arrest 😤 🔥,Cyber Crime
3306,Numit asi yamna chaoba oirammi fake yamna,Non Cyber Crime
3307,Travel photo asi yamna phajabani money 😳 plz,Non Cyber Crime
3308,Ei bank app da check toure payment leitre bank plz,Cyber Crime
3309,Fast approval guaranteed 😤 😳,Scam Promotion
3310,Receipt ubu ngamde aduga cash piri 😳 🔥,Cyber Crime
3311,Link click touro reward phanggani paisa #GPayScam 🙏 bhai,Scam Promotion
3312,Screenshot asi fake oirammi video,Cyber Crime
3313,Instant cashback ₹10000 available shopkeeper bhai yamna,Scam Promotion
3314,Watch till end friends shopkeeper #DigitalFraud,Bot Comment
3315,Receipt ubu ngamde aduga cash piri bank #Manipur 😡 😂,Cyber Crime
3316,New song release toure 🙏 yamna,Non Cyber Crime
3317,Movie asi eina nungairi link sab #DigitalFraud 😂 😂,Non Cyber Crime
3318,Cricket match gi score karino video #ScamAlert 😂 lol,Non Cyber Crime
3319,Ei bank app da check toure payment leitre investigation 😳,Cyber Crime
3320,Official support number contact touro arrest dekho 💰 🔥,Scam Promotion
3321,Link click touro reward phanggani bro,Scam Promotion
3322,Customer support WhatsApp touro police lol,Scam Promotion
3323,Numit asi yamna chaoba oirammi lol,Non Cyber Crime
3324,Ei nattraga eigi family gi maphamda masi thoklammi 🚨 bhai,Cyber Crime
3325,Police investigation asi continue touri 🤔 yamna,Cyber Crime
3326,Fake confirmation screen asi yamna dangerous ni bahut #DigitalFraud 😳 bro,Cyber Crime
3327,Numit asi yamna chaoba oirammi #ScamAlert 😂,Non Cyber Crime
3328,Ei bank app da check toure payment leitre sahi,Cyber Crime
3329,Nice video bro thanks thanks #Manipur 💸 bhai,Bot Comment
3330,Football match asi yamna phajabani warning 🔥,Non Cyber Crime
3331,Leikol da function ama leiri support 🔥,Non Cyber Crime
3332,Account verify touro haibasi suspicious ni alert #News 💸 asap,Cyber Crime
3333,Weather houjik yamna nungshitri account bhaiya #Manipur 💰,Non Cyber Crime
3334,Fast approval guaranteed #StaySafe 😤 😳,Scam Promotion
3335,Music video asi phajare sahi #ScamAlert,Non Cyber Crime
3336,Leikol da function ama leiri receipt #Churachandpur,Non Cyber Crime
3337,Nice video bro thanks thanks alert 😢 😂,Bot Comment
3338,Official support number contact touro police #Manipur 😢,Scam Promotion
3339,Limited offer hurry hurry 🚨 🔥,Scam Promotion
3340,New song release toure transaction 😂,Non Cyber Crime
3341,Screenshot asi fake oirammi screenshot 💰 bhai,Cyber Crime
3342,Very useful useful useful 🔥🔥🔥 paisa bro,Bot Comment
3343,Instant cashback ₹10000 available UPI #FraudAlert bhai,Scam Promotion
3344,Festival preparation touri #News 😤 plz,Non Cyber Crime
3345,OTP piro nattraga account loukhatkani police 😳,Cyber Crime
3346,Exam result karino upload tougani arrest #StaySafe,Non Cyber Crime
3347,Shopkeeper singna careful oigadabani screenshot 😳,Cyber Crime
3348,Good information everyone watch,Bot Comment
3349,School gi project complete toure lol,Non Cyber Crime
3350,GPay issue solve tougani inbox now jaldi #ScamAlert 🚨 lol,Scam Promotion
3351,Watch till end friends pakka #ScamAlert bro,Bot Comment
3352,Police investigation asi continue touri #FraudAlert 🤔 😂,Cyber Crime
3353,Festival preparation touri update #Manipur asap,Non Cyber Crime
3354,Numit asi yamna chaoba oirammi video bhai,Non Cyber Crime
3355,Exam result karino upload tougani online plz,Non Cyber Crime
3356,Limited offer hurry hurry driver #UPI asap,Scam Promotion
3357,Police investigation asi continue touri 🚨,Cyber Crime
3358,Nice video bro thanks thanks #DigitalFraud 😤,Bot Comment
3359,Exam result karino upload tougani investigation yamna,Non Cyber Crime
3360,School gi project complete toure #Churachandpur 😱,Non Cyber Crime
3361,Official support number contact touro lol,Scam Promotion
3362,Numit asi yamna chaoba oirammi #DigitalFraud 😳,Non Cyber Crime
3363,DM touro ₹5000 daily income piba ngamgani bank 💸 😳,Scam Promotion
3364,Shopkeeper singna careful oigadabani 🔥 plz,Cyber Crime
3365,Easy money work from home #StaySafe,Scam Promotion
3366,Weather houjik yamna nungshitri receipt 🔥,Non Cyber Crime
3367,Useful useful useful useful UPI 📢 🔥,Bot Comment
3368,Exam result karino upload tougani investigation #News bro,Non Cyber Crime
3369,Fast approval guaranteed bhai 😂,Scam Promotion
3370,Transaction successful haiba asi thajaba ngamde #Manipur,Cyber Crime
3371,Official support number contact touro 😡,Scam Promotion
3372,New song release toure #News 🤔 asap,Non Cyber Crime
3373,Receipt ubu ngamde aduga cash piri arrest #GPayScam 💸,Cyber Crime
3374,Best channel best channel receipt 💰 😳,Bot Comment
3375,School gi project complete toure #Manipur 😳,Non Cyber Crime
3376,Movie asi eina nungairi digital 😳 asap,Non Cyber Crime
3377,Fake confirmation screen asi yamna dangerous ni #Churachandpur 💰 lol,Cyber Crime
3378,Leikol da function ama leiri cash 🔥,Non Cyber Crime
3379,OTP piro nattraga account loukhatkani paisa 💰 asap,Cyber Crime
3380,Shopkeeper singna careful oigadabani OTP #DigitalFraud plz,Cyber Crime
3381,Movie asi eina nungairi scam,Non Cyber Crime
3382,Festival preparation touri receipt #News 🔥,Non Cyber Crime
3383,Useful useful useful useful cash 🔥,Bot Comment
3384,Link ama click touba matamda careful oiganu 👍,Cyber Crime
3385,New song release toure jaldi 🙏 plz,Non Cyber Crime
3386,Movie asi eina nungairi pakka yamna,Non Cyber Crime
3387,Easy money work from home 😂 😂,Scam Promotion
3388,Ei nattraga eigi family gi maphamda masi thoklammi transaction #GPayScam plz,Cyber Crime
